"city_id","district"
326,"Zulia"
444,"Zufar"
600,"Ziguinchor"
193,"Zhejiang"
599,"Zhejiang"
593,"Zanzibar West"
542,"Ynlin"
586,"Yerevan"
227,"Yamaguchi"
474,"Yamaguchi"
277,"Xinxiang"
199,"Xinxiang"
255,"Wielkopolskie"
392,"Western Cape"
119,"West Java"
419,"West Java"
118,"West Java"
117,"West Java"
401,"West Greece"
257,"West Bengali"
559,"West Bengali"
195,"West Bengali"
478,"West Bengali"
197,"West Bengali"
71,"West Bengali"
554,"West Bengali"
51,"West Bengali"
261,"West Bengali"
65,"Washington"
259,"Volgograd"
368,"Vojvodina"
433,"Virginia"
570,"Vilna"
125,"Veracruz"
296,"Vaud"
96,"Valle"
560,"Vaduz"
164,"Uttar Pradesh"
169,"Uttar Pradesh"
239,"Uttar Pradesh"
425,"Uttar Pradesh"
448,"Uttar Pradesh"
566,"Uttar Pradesh"
427,"Uttar Pradesh"
24,"Uttar Pradesh"
23,"Utrecht"
557,"Usak"
531,"Tuvassia"
516,"Tutuila"
454,"Tucumn"
309,"Toscana"
370,"Tongatapu"
204,"Tokyo-to"
10,"Tokyo-to"
538,"Tokat"
535,"Tianjin"
33,"Texas"
178,"Texas"
295,"Texas"
185,"Texas"
135,"Texas"
534,"Tete"
333,"Tennessee"
123,"Tennessee"
533,"Tel Aviv"
57,"Tel Aviv"
367,"Tatarstan"
352,"Tatarstan"
530,"Tartumaa"
416,"Tamil Nadu"
22,"Tamil Nadu"
564,"Tamil Nadu"
522,"Tamil Nadu"
283,"Tamil Nadu"
330,"Tamaulipas"
345,"Taka-Karpatia"
518,"Taizz"
526,"Taipei"
116,"Taipei"
316,"Taipei"
209,"Taipei"
167,"Tahiti"
397,"Tahiti"
68,"Tadla-Azilal"
515,"Tabuk"
513,"Tabora"
275,"Sumy"
385,"Sumy"
506,"Sumy"
505,"Sumqayit"
396,"Sumatera Selatan"
184,"Sulawesi Utara"
132,"Sucre"
480,"Sucre"
545,"Streymoyar"
186,"Steiermark"
408,"Stavropol"
111,"St Thomas"
269,"St George"
98,"Southern Tagalog"
221,"Southern Tagalog"
523,"Southern Tagalog"
104,"Southern Tagalog"
527,"Southern Tagalog"
458,"Southern Tagalog"
138,"Southern Mindanao"
492,"Sousse"
489,"Songkhla"
488,"Sokoto & Kebbi & Zam"
64,"Sofala"
189,"So Paulo"
490,"So Paulo"
431,"So Paulo"
485,"So Paulo"
410,"So Paulo"
461,"So Paulo"
30,"So Paulo"
456,"So Paulo"
484,"Smolensk"
133,"Slaskie"
236,"Slaskie"
549,"Slaskie"
321,"Skne ln"
483,"Skikda"
482,"Sivas"
511,"Sisilia"
472,"Sind"
134,"Sind"
154,"Sinaloa"
157,"Sichuan"
299,"Sichuan"
139,"Sichuan"
331,"Shimane"
386,"Shiga"
470,"Sharja"
136,"Shanxi"
590,"Shanxi"
249,"Shandong"
